2022-12-15 15:06:55,469 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-12-15 15:06:55,504 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-12-15 15:06:55,505 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2022-12-15 15:06:55,506 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2022-12-15 15:06:55,508 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2022-12-15 15:06:55,509 INFO  SwAddin.cs: 197 - Setting up callbacks
2022-12-15 15:06:55,510 INFO  SwAddin.cs: 201 - Setting up command manager
2022-12-15 15:06:55,510 INFO  SwAddin.cs: 204 - Adding command manager
2022-12-15 15:06:55,513 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2022-12-15 15:06:55,514 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2022-12-15 15:06:55,514 INFO  SwAddin.cs: 210 - Adding event handlers
2022-12-15 15:06:55,654 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2022-12-15 15:15:11,400 INFO  SwAddin.cs: 294 - Assembly export called for file switchAssembly
2022-12-15 15:15:11,401 INFO  SwAddin.cs: 299 - Save is required
2022-12-15 15:15:11,401 INFO  SwAddin.cs: 313 - Saving assembly
2022-12-15 15:15:11,599 INFO  SwAddin.cs: 316 - Opening property manager
2022-12-15 15:15:11,615 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from switchAssembly
2022-12-15 15:15:11,651 INFO  ExportHelperExtension.cs: 1136 - Found 34 in switchAssembly
2022-12-15 15:15:11,652 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in switchAssembly
2022-12-15 15:15:11,652 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-12-15 15:15:11,653 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-12-15 15:15:11,655 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from switch-1
2022-12-15 15:15:11,656 INFO  ExportHelperExtension.cs: 1136 - Found 25 in switch-1
2022-12-15 15:15:11,656 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in switch-1
2022-12-15 15:15:11,657 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from switch base-1
2022-12-15 15:15:11,657 INFO  ExportHelperExtension.cs: 1136 - Found 32 in switch base-1
2022-12-15 15:15:11,658 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in switch base-1
2022-12-15 15:15:11,658 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from switchAssembly
2022-12-15 15:15:11,659 INFO  ExportHelperExtension.cs: 1136 - Found 34 in switchAssembly
2022-12-15 15:15:11,659 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [RefAxis] in switchAssembly
2022-12-15 15:15:11,659 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-12-15 15:15:11,660 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-12-15 15:15:11,660 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from switch-1
2022-12-15 15:15:11,661 INFO  ExportHelperExtension.cs: 1136 - Found 25 in switch-1
2022-12-15 15:15:11,661 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in switch-1
